x_N2_train,y_N2_train,x_N2_valid,y_N2_valid,x_H2_2.5,y_H2_2.5,x_H2_10,y_H2_10
3.5618419007830577e-07,2004019.348266967,3.234958946173018e-07,11657485.889444588,9.307257251766223e-07,473161.94191482285,7.118884774427988e-07,976530.1414657475
3.5902068922529076e-07,1974935.5906130604,3.2507053675250124e-07,11486451.641640808,9.476365494413181e-07,479384.94989592663,7.227276214923266e-07,969025.4778181701
3.6185718837227575e-07,1957641.2708101138,3.2664517888770065e-07,11261125.491141113,9.645473737060139e-07,483702.9147964651,7.335667655418545e-07,958149.2324943916
3.646936875192607e-07,1950866.043219986,3.282198210229001e-07,10968629.189734653,9.814581979707094e-07,485940.3109078228,7.444059095913824e-07,943426.1317882261
3.675301866662456e-07,1952855.9571066392,3.2979446315809953e-07,10599454.491755698,9.983690222354052e-07,486044.74762930203,7.552450536409103e-07,924691.8508822003
3.703666858132306e-07,1961334.3487467282,3.3136910529329894e-07,10149585.32664362,1.015279846500101e-06,484043.3294060973,7.660841976904382e-07,902071.9190135833
3.732031849602156e-07,1973601.8062005783,3.329437474284984e-07,9621874.230209667,1.0321906707647967e-06,479977.46100241964,7.769233417399661e-07,875925.9339068581
3.7603968410720053e-07,1986754.0776247075,3.345183895636978e-07,9026402.985912625,1.0491014950294925e-06,473833.3018814144,7.87762485789494e-07,846766.5816172657
3.7887618325418547e-07,1997974.33312273,3.3609303169889723e-07,8379745.945084632,1.066012319294188e-06,465488.9144277129,7.986016298390219e-07,815168.6916393025
3.8171268240117046e-07,2004843.1175373392,3.3766767383409664e-07,7703265.287656597,1.0829231435588838e-06,454697.02394554403,8.094407738885498e-07,781686.3154974105
3.8454918154815545e-07,2005607.2611685256,3.3924231596929606e-07,7020749.569659138,1.0998339678235796e-06,441114.1686325874,8.202799179380776e-07,746794.41003648
3.873856806951404e-07,1999357.457761683,3.4081695810449547e-07,6355815.958025138,1.1167447920882753e-06,424374.7806981853,8.311190619876055e-07,710866.0723887475
